,symbol,date,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
0,MANT,2021-12-31,FY,1.5839783897271678,1.4621104477928468,0.14149002725142354,71.1969489685805,0.0,71.1969489685805,28.390352924404876,42.80659604417562,0.14855815840210246,0.07314769714121935,0.07215394470382419,0.05364892738950867,0.25798521798586915,0.05190893196416834,0.08178068782752981,0.08257655689669577,0.7435342254637016,0.9864144398766701,0.07314769714121935,0.3652666253719836,0.5754646596077402,0.17831088354802244,0.19122474357390015,78.19840937630808,0.535606817929377,1.5754646596077402,5.126624178250615,12.856479839186473,,12.242378341066841,0.9675670044117117,5.218449252523448,3.8677388462905973,1.31275956848102,0.4512067845595802,0.08307543277957803,0.7411663233900957,0.535606817929377,6.5169088060939275,-3.863484895387585,30.722704894294814,0.4512067845595802,1.7184169004155518,1.7184169004155518,1.1272982162943386,21.012502414256797,18.30840578487176,13.569573802707362,13.569573802707362,1.6533521636481014,1.1272982162943386,0.021473253192986683,12.202877196954132,1.7184169004155518
1,MANT,2020-12-31,FY,1.423051893134717,1.3296006742867954,0.11809479577882705,61.247603622005215,0.0,61.247603622005215,24.294753437806687,36.952850184198525,0.15072880069123692,0.06275810202097853,0.06210212580766079,0.04786005629006537,0.2293202555036222,0.0544481908726889,0.07631321023266886,0.08475154315277736,0.7706669565272991,0.9895475453814956,0.06275810202097853,0.2865168336296746,0.4015747632663295,0.05687264354308413,0.07352769511702241,83.18368421052631,1.9724764054983366,1.4015747632663296,5.959416832903838,15.023819893228435,,11.652657539063766,1.1376541335993178,6.133407086500901,4.240079460124035,1.021878945957158,0.4282585248485854,0.09817565549971728,0.6913089903091683,1.9724764054983366,8.212722139179538,-3.2394853384345272,-10.008257772020725,0.4282585248485854,2.234796426765145,2.234796426765145,1.4015592117762783,29.28452911300084,20.650731292577845,14.276036199017936,14.276036199017936,5.961493426575166,1.4015592117762783,0.014624053649490319,15.808824751153747,2.234796426765145
2,MANT,2019-12-31,FY,1.515876005480347,1.4328440801250746,0.02951520262949987,69.13417371597335,0.0,69.13417371597335,28.14731330616263,40.98686040981072,0.14807165973996642,0.06223681801023055,0.06123481986304975,0.0512427341636375,0.16320592514217697,0.05402971847997594,0.07640332152186775,0.07651002553745077,0.8368234654440183,0.9839002349539129,0.06223681801023055,0.29283547621013,0.4140980865962451,0.023900855323211595,,53.32498072474942,6.0659178082191785,1.4140980865962451,5.279588666229583,12.96748986412448,,10.92923844039359,1.0543878924851773,5.54049602461415,4.077284171497078,0.22156378689797787,0.379357274563175,0.09961760295227258,0.7359059826743629,,,-3.7865303051032972,-14.502259775987424,0.37935727456317503,2.107599791807175,2.107599791807175,1.4135403239504694,27.585185432075082,19.28189800077965,14.189664096090581,14.189664096090581,0.7451582558274827,1.4135403239504694,0.01375221042096283,16.288437717379065,2.107599791807175
3,MANT,2018-12-31,FY,1.8081600111780975,1.6876954625965241,0.02175619418656738,75.54693072501847,0.0,75.54693072501847,27.42035039628151,48.126580328736964,0.14319573032594915,0.05756380845694049,0.05647269903301257,0.041917084874221175,0.2579449391980471,0.0455115692862738,0.058590744750548464,0.07224559735168257,0.7422539668188599,0.9810452182859981,0.05756380845694049,0.22322937726699968,0.2873813333485584,0.005324080318365805,,47.41042893187553,12.458533333333333,1.2873813333485584,4.831433871596387,13.31128139228658,,38.08421646216968,1.0857522516854032,2.3673595591475305,1.4772593222874288,0.1341281638943806,0.48264857424753643,0.04770808304277077,0.6240113871081668,,,-2.6596550153706024,20.80120213713268,0.4826485742475365,1.4659381086694279,1.4659381086694279,1.048763800205432,25.01996031814744,35.22842338379526,21.982937341355864,21.982937341355864,-0.8553335271552731,1.048763800205432,0.019290541156352776,12.419037301985519,1.4659381086694279
4,MANT,2017-12-31,FY,1.6083579735856495,1.4055281774974264,0.041400004380489304,66.19886920230307,0.023940983835053182,66.22281018613812,30.526001315934217,35.6968088702039,0.14759251213440977,0.057188684102321585,0.056634234469295025,0.0664762978605932,-0.17337158840830094,0.06543000042992878,0.08499122097672777,0.06476365099360898,1.1737829333004257,0.9903049066134387,0.057188684102321585,0.23015577752618982,0.2989640901461979,0.022562290116115734,,71.41381818181819,4.934129032258064,1.2989640901461978,5.513689348447384,11.957019729586209,15245.822916666666,37.26005815719804,0.9842605941615672,3.9398334033468263,2.9388409366509727,0.24343522728481579,0.2865315706012739,0.08908351572318986,0.7459302553642176,,,-3.9359271267562144,-24.842942991716747,0.2865315706012738,1.3855649177663367,1.3855649177663367,1.0837263557355417,16.302447498027252,16.308877260134697,12.165284979355956,12.165284979355956,0.16525768696630366,1.0837263557355417,0.017575984871961516,14.211709109712633,1.3855649177663367
0,CCI,2021-12-31,FY,0.6189536031589339,0.412142152023692,0.1441263573543929,31.26104100946372,0.0,31.26104100946372,45.05268439538384,-13.791643385920121,0.6856466876971609,0.31561514195583595,0.1859621451104101,0.17287066246056781,0.017811704834605598,0.02807377049180328,0.13271978687333494,0.05406062570919112,0.9296013570822731,0.5892053973013494,0.31561514195583595,0.7884733606557377,3.727536933882296,0.7630144062446191,0.7658434230300281,3.1661392405063293,0.10096634455181606,4.727536933882296,11.675874769797423,8.101626016260163,,0.28882511047332693,0.16239754098360656,6.3125,3.4675925925925926,0.6759259259259259,2.16514598540146,0.4301261829652997,0.5493215988265493,0.10096634455181606,6.477434679334917,-2.2188771358828316,2.3837412587412588,2.1651459854014594,9.451895961055946,9.451895961055946,12.311318114574133,71.21693142919707,52.105311646461956,28.622573100990103,28.622573100990103,9.33733100960583,12.311318114574133,0.03040212407289717,30.87850187043914,9.451895961055946
1,CCI,2020-12-31,FY,0.5606907059421026,0.3367191467750127,0.11782630777044185,26.9375,0.0,26.9375,42.63585576434739,-15.69835576434739,0.6628424657534246,0.3190068493150685,0.18424657534246575,0.18082191780821918,0.01858736059479554,0.02723895996698308,0.11161610823380193,0.05062637571673143,0.9814126394052045,0.5775630703166935,0.3190068493150685,0.7559585224927775,3.0976640947045766,0.6693345449461764,0.6745442036463708,2.7972972972972974,0.1557958080473252,4.097664094704577,13.549883990719257,8.560869565217391,,0.27004531582354574,0.15063970284770944,7.222222222222222,3.382978723404255,0.5484633569739953,2.0738636363636362,0.5231164383561644,0.4684124386252046,0.1557958080473252,6.670305676855895,-1.8811576354679802,5.397526501766785,2.0738636363636362,7.120492302452172,7.120492302452172,11.53544138244863,63.79448643323864,47.07685372012578,22.051383853846154,22.051383853846154,2.0505370639255283,11.53544138244863,0.03250850899997367,25.893724678656717,7.120492302452172
2,CCI,2019-12-31,FY,0.8998559077809798,0.5720461095100865,0.23270893371757925,29.83081728266528,0.0,29.83081728266528,55.50352467270896,-25.672707390043684,0.6553878188443519,0.2705188269998265,0.15287176817629708,0.14922783272601076,0.02383654937570942,0.026363385549186106,0.07259834543305757,0.04991515384369097,0.9761634506242906,0.5651058370750481,0.2705188269998265,0.6368596916096992,1.753756542292757,0.5793174473525339,0.580969225327202,2.3549848942598186,0.16427179736970288,2.753756542292757,12.235668789808917,6.576158940397351,,0.4297539149888143,0.17666533827902273,6.485576923076923,1.5408653846153846,0.7764423076923077,2.354651162790698,0.4681589449939268,0.23758339510748702,0.16427179736970288,24.306306306306308,-1.3116188624210015,-84.3125,2.3546511627906974,5.307283643288873,5.307283643288873,10.909262890577823,73.10474655627905,98.08125122995318,23.302476663602665,23.302476663602665,2.1931423966883723,10.909262890577823,0.03220927879119299,25.351872243467092,5.307283643288873
3,CCI,2018-12-31,FY,0.8673253352152435,0.5490472829922372,0.19548341566690192,33.72026553568136,0.0,33.72026553568136,61.85435841905793,-28.134092883376574,0.6594136087036696,0.26406048312742025,0.12723584731698323,0.12373225152129817,0.02753623188405797,0.02046667683391795,0.055758683729433274,0.0456516194848253,0.972463768115942,0.4818435754189944,0.26406048312742025,0.6329418941589141,1.7243643011467509,0.5793631374742214,0.5809304917119376,2.3096774193548386,0.1499820165447788,2.7243643011467507,10.82435129740519,5.900958466453674,,0.3965340742907283,0.16541101113314016,6.058111380145278,1.8426150121065374,0.6707021791767555,2.8241430700447094,0.46136824635810436,0.3041566746602718,0.1499820165447788,23.38317757009346,-1.437105112004595,16.246753246753247,2.824143070044709,3.962864425427954,3.962864425427954,8.793861422754933,71.07169969538002,62.66637384441524,19.060395881534774,19.060395881534774,2.111247549774524,8.793861422754933,0.039736534825384105,22.584253169696968,3.962864425427954
4,CCI,2017-12-31,FY,0.8774830080443811,0.5508001814126348,0.24309138274505798,33.31765047565148,0.0,33.31765047565148,58.07900935025302,-24.761358874601534,0.6409910907899132,0.23970148808259703,0.1080430847149822,0.10206389238693592,0.05534081467425142,0.01379323397736923,0.03602780174408437,0.03374692218062436,0.9446591853257486,0.45074015008931606,0.23970148808259703,0.6171502753527274,1.6119909082377442,0.5652719607633335,0.5670300352626586,1.8324004991496554,0.12649963303592535,2.611990908237744,10.95515424374662,6.28454245489657,,0.3367852571178047,0.13514313098189024,5.354916959186881,2.1378818043694663,0.8227956200555352,3.4611179844786863,0.46932309059246646,0.3992371535662606,0.12649963303592535,17.736817901796947,-1.6645503395162007,6.5820671090804295,3.461117984478687,3.4040499724300397,3.4040499724300397,9.643402407222878,94.48397647488922,51.46682972609498,20.547470602925564,20.547470602925564,14.959962941857446,9.643402407222878,0.03663179846583341,25.34130803449844,3.4040499724300397
